,Critereon,Max Depth,Min Impurity Decrease,Accuracy,True Pos,True Neg,False Pos,False Neg
0,entropy,10,0.02,0.8504672897196262,2,89,10,6
1,gini,6,0.01,0.8691588785046729,2,91,8,6
2,entropy,5,0.01,0.897196261682243,2,94,5,6
3,entropy,11,0.0001,0.8504672897196262,2,89,10,6
4,gini,11,0.01,0.8691588785046729,2,91,8,6
5,gini,5,0.02,0.9158878504672897,1,97,2,7
6,gini,9,0.01,0.8691588785046729,2,91,8,6
7,entropy,8,0.02,0.8504672897196262,2,89,10,6
8,entropy,9,0.001,0.8504672897196262,2,89,10,6
9,gini,3,0.0001,0.9158878504672897,1,97,2,7
10,entropy,7,0.02,0.8504672897196262,2,89,10,6
11,gini,8,0.001,0.8598130841121495,1,91,8,7
12,gini,3,0.001,0.9158878504672897,1,97,2,7
13,entropy,7,0.001,0.8598130841121495,2,90,9,6
14,entropy,4,0.0001,0.897196261682243,2,94,5,6
